Project,Bug ID,Fixed File Name,Fix Faulty Line,Blame Faulty Line
Math,30,src/main/java/org/apache/commons/math3/stat/inference/MannWhitneyUTest.java,173,173
Math,32,src/main/java/org/apache/commons/math3/geometry/euclidean/twod/PolygonsSet.java,136,136
Math,33,src/main/java/org/apache/commons/math3/optimization/linear/SimplexTableau.java,338,338
Math,34,src/main/java/org/apache/commons/math3/genetics/ListPopulation.java,209,209
Math,39,src/main/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,249,249
Math,41,src/main/java/org/apache/commons/math/stat/descriptive/moment/Variance.java,520,520
Math,45,src/main/java/org/apache/commons/math/linear/OpenMapRealMatrix.java,49,49
Math,48,src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java,188,188
Math,50,src/main/java/org/apache/commons/math/analysis/solvers/BaseSecantSolver.java,187,187
Math,53,src/main/java/org/apache/commons/math/complex/Complex.java,152,152
Math,57,src/main/java/org/apache/commons/math/stat/clustering/KMeansPlusPlusClusterer.java,175,175
Math,58,src/main/java/org/apache/commons/math/optimization/fitting/GaussianFitter.java,121,121
Math,59,src/main/java/org/apache/commons/math/util/FastMath.java,3482,3482
Math,63,src/main/java/org/apache/commons/math/util/MathUtils.java,417,417
Math,69,src/main/java/org/apache/commons/math/stat/correlation/PearsonsCorrelation.java,171,171
Math,70,src/main/java/org/apache/commons/math/analysis/solvers/BisectionSolver.java,72,72
Math,71,src/main/java/org/apache/commons/math/ode/nonstiff/EmbeddedRungeKuttaIntegrator.java,299,299
Math,73,src/main/java/org/apache/commons/math/analysis/solvers/BrentSolver.java,135,135
Math,75,src/main/java/org/apache/commons/math/stat/Frequency.java,303,303
Math,80,src/main/java/org/apache/commons/math/linear/EigenDecompositionImpl.java,1135,1135
Math,82,src/main/java/org/apache/commons/math/optimization/linear/SimplexSolver.java,82,82
Math,85,src/java/org/apache/commons/math/analysis/solvers/UnivariateRealSolverUtils.java,198,198
Math,94,src/java/org/apache/commons/math/util/MathUtils.java,412,412
Math,96,src/java/org/apache/commons/math/complex/Complex.java,258,258
Math,101,src/java/org/apache/commons/math/complex/ComplexFormat.java,377,377
Math,104,src/java/org/apache/commons/math/special/Gamma.java,37,37
Math,105,src/java/org/apache/commons/math/stat/regression/SimpleRegression.java,264,264
Time,4,src/main/java/org/joda/time/Partial.java,464,464
Time,15,src/main/java/org/joda/time/field/FieldUtils.java,137,137
Time,16,src/main/java/org/joda/time/format/DateTimeFormatter.java,709,709
Time,19,src/main/java/org/joda/time/DateTimeZone.java,900,900
Time,24,src/main/java/org/joda/time/format/DateTimeParserBucket.java,354,354
Time,25,src/main/java/org/joda/time/DateTimeZone.java,898,898
Mockito,5,src/org/mockito/internal/verification/VerificationOverTimeImpl.java,91,91
Mockito,7,src/org/mockito/internal/util/reflection/GenericMetadataSupport.java,378,378
Mockito,8,src/org/mockito/internal/util/reflection/GenericMetadataSupport.java,79,79
Mockito,18,src/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java,86,86
Mockito,24,src/org/mockito/internal/stubbing/defaultanswers/ReturnsEmptyValues.java,76,76
Mockito,26,src/org/mockito/internal/util/Primitives.java,66,66
Mockito,28,src/org/mockito/internal/configuration/DefaultInjectionEngine.java,93,93
Mockito,29,src/org/mockito/internal/matchers/Same.java,29,29
Mockito,34,src/org/mockito/internal/invocation/InvocationMatcher.java,106,106
Mockito,38,src/org/mockito/internal/verification/argumentmatching/ArgumentMatchingTool.java,48,48
